issue_id,activity_id,state,title,labels,updated_at,url,tasks_total,tasks_done
3276128821,GGI-A-26,open,Contribute to open source projects,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:21:05+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/12,0,0
3276128719,GGI-A-25,open,Promote open source development best practices,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:21:03+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/11,0,0
3276128617,GGI-A-44,open,Run code reviews,"Developer,Team Leader,Not Selected,Trust Goal",2025-07-30 08:21:00+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/10,0,0
3276128513,GGI-A-24,open,Manage key indicators,"Team Leader,Decision Maker,Not Selected,Trust Goal",2025-07-30 08:20:58+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/9,0,0
3276128433,GGI-A-23,open,Manage software dependencies,"Developer,Team Leader,Not Selected,Trust Goal",2025-07-30 08:20:56+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/8,0,0
3276128337,GGI-A-22,open,Manage software vulnerabilities,"Team Leader,Not Selected,Trust Goal",2025-07-30 08:20:53+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/7,0,0
3276128226,GGI-A-21,open,Manage legal compliance,"Decision Maker,Not Selected,Trust Goal",2025-07-30 08:20:51+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/6,0,0
3276128116,GGI-A-42,open,Manage open source skills and resources,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:20:48+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/5,0,0
3276128022,GGI-A-20,open,Open source enterprise software,"Decision Maker,Not Selected,Usage Goal",2025-07-30 08:20:46+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/4,0,0
3276127908,GGI-A-19,open,Open source supervision,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:20:44+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/3,0,0
3276127811,GGI-A-18,open,Open source competency growth,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:20:41+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/2,0,0
3276127688,GGI-A-17,open,Inventory of open source skills and resources,"Developer,Team Leader,Not Selected,Usage Goal",2025-07-30 08:20:39+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/1,0,0
