time,issue_id,event_id,type,author,action,url
2025-07-30 08:21:26+00:00,20,18893939902,label,ouvry-ems,labeled Engagement Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/20
2025-07-30 08:21:24+00:00,19,18893939374,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/19
2025-07-30 08:21:24+00:00,19,18893939410,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/19
2025-07-30 08:21:24+00:00,19,18893939447,label,ouvry-ems,labeled Engagement Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/19
2025-07-30 08:21:21+00:00,18,18893937953,label,ouvry-ems,labeled Team Leader,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/18
2025-07-30 08:21:21+00:00,18,18893938004,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/18
2025-07-30 08:21:21+00:00,18,18893938057,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/18
2025-07-30 08:21:21+00:00,18,18893938124,label,ouvry-ems,labeled Engagement Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/18
2025-07-30 08:21:19+00:00,17,18893937436,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/17
2025-07-30 08:21:19+00:00,17,18893937488,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/17
2025-07-30 08:21:19+00:00,17,18893937535,label,ouvry-ems,labeled Engagement Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/17
2025-07-30 08:21:17+00:00,16,18893936840,label,ouvry-ems,labeled Developer,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/16
2025-07-30 08:21:17+00:00,16,18893936897,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/16
2025-07-30 08:21:17+00:00,16,18893936950,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/16
2025-07-30 08:21:17+00:00,16,18893936994,label,ouvry-ems,labeled Engagement Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/16
2025-07-30 08:21:13+00:00,15,18893935943,label,ouvry-ems,labeled Developer,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/15
2025-07-30 08:21:14+00:00,15,18893935991,label,ouvry-ems,labeled Team Leader,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/15
2025-07-30 08:21:14+00:00,15,18893936047,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/15
2025-07-30 08:21:14+00:00,15,18893936084,label,ouvry-ems,labeled Culture Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/15
2025-07-30 08:21:11+00:00,14,18893935357,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/14
2025-07-30 08:21:11+00:00,14,18893935403,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/14
2025-07-30 08:21:12+00:00,14,18893935453,label,ouvry-ems,labeled Culture Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/14
2025-07-30 08:21:09+00:00,13,18893934784,label,ouvry-ems,labeled Team Leader,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/13
2025-07-30 08:21:09+00:00,13,18893934853,label,ouvry-ems,labeled Decision Maker,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/13
2025-07-30 08:21:09+00:00,13,18893934899,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/13
2025-07-30 08:21:09+00:00,13,18893934963,label,ouvry-ems,labeled Culture Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/13
2025-07-30 08:21:06+00:00,12,18893934040,label,ouvry-ems,labeled Developer,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/12
2025-07-30 08:21:06+00:00,12,18893934074,label,ouvry-ems,labeled Team Leader,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/12
2025-07-30 08:21:07+00:00,12,18893934125,label,ouvry-ems,labeled Not Selected,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/12
2025-07-30 08:21:07+00:00,12,18893934168,label,ouvry-ems,labeled Culture Goal,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/12
2025-07-30 08:21:04+00:00,11,18893933538,label,ouvry-ems,labeled Developer,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/11
2025-07-30 08:21:05+00:00,11,18893933592,label,ouvry-ems,labeled Team Leader,https://github.com/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/11
